Date/Time,CPU usage %,Temperature C
29/04/2020 17:28,11.9,53.7
29/04/2020 17:29,5.7,52.1
29/04/2020 17:29,33.5,56.9
29/04/2020 17:30,27.1,56.9
29/04/2020 17:31,25.8,58
29/04/2020 17:31,25.7,58
29/04/2020 17:32,25.6,58
29/04/2020 17:32,23.8,58
29/04/2020 17:33,27,59.1
29/04/2020 17:33,24.7,58.5
29/04/2020 17:34,23.8,58
29/04/2020 17:34,26.3,59.1
29/04/2020 17:35,23.9,58.5
29/04/2020 17:36,25.5,59.1
29/04/2020 17:36,25.6,59.1
29/04/2020 17:37,24.6,58.5
29/04/2020 17:37,26.9,58
29/04/2020 17:38,25.3,59.6
29/04/2020 17:38,25,58
29/04/2020 17:39,27.7,59.6
29/04/2020 17:39,23.1,59.1
29/04/2020 17:40,25.9,59.1
29/04/2020 17:40,25.8,58
29/04/2020 17:41,24.1,58.5
29/04/2020 17:42,25.5,58
29/04/2020 17:42,23.6,59.6
29/04/2020 17:43,25,58
29/04/2020 17:43,26.2,59.1
29/04/2020 17:44,24.2,58.5
29/04/2020 17:44,25.7,59.1
29/04/2020 17:45,24.5,58.5
29/04/2020 17:45,25.7,58.5
29/04/2020 17:46,24.7,58
29/04/2020 17:47,24.4,58.5
29/04/2020 17:47,26.2,59.1
29/04/2020 17:48,24.6,59.1
29/04/2020 17:48,23.7,58.5
29/04/2020 17:49,24.9,59.1
29/04/2020 17:49,24.3,60.7
29/04/2020 17:50,26.5,60.1
29/04/2020 17:50,24.4,59.1
29/04/2020 17:51,23.9,59.1
29/04/2020 17:51,25,59.1
29/04/2020 17:52,23.4,59.1
29/04/2020 17:53,24.9,58.5
29/04/2020 17:53,25,59.1
29/04/2020 17:54,27.4,59.1
29/04/2020 17:54,24.8,59.6
29/04/2020 17:55,23.1,59.1
29/04/2020 17:55,23.9,59.1
29/04/2020 17:56,24.5,59.1
29/04/2020 17:56,29.4,60.1
29/04/2020 17:57,28.8,60.1
29/04/2020 17:58,26.5,60.1
29/04/2020 17:58,23.4,59.1
29/04/2020 17:59,25.5,59.1
29/04/2020 17:59,23.5,58
29/04/2020 18:00,23.2,59.1
29/04/2020 18:00,25.4,58
29/04/2020 18:01,23.3,58.5
29/04/2020 18:01,25.3,58.5
29/04/2020 18:02,24.8,58.5
29/04/2020 18:02,24.4,59.1
29/04/2020 18:03,25,59.1
29/04/2020 18:04,25.1,58
29/04/2020 18:04,29.1,60.1
29/04/2020 18:05,24.1,59.1
29/04/2020 18:05,23.7,58.5
